Entity,Code,Year,value
Afghanistan,AFG,1960,0
Afghanistan,AFG,1960,0
Afghanistan,AFG,1960,0
Afghanistan,AFG,1960,0
Afghanistan,AFG,1960,0
Afghanistan,AFG,1960,0
Afghanistan,AFG,1960,0.00472257
Afghanistan,AFG,1965,0.0045614
Afghanistan,AFG,1965,0.0878913
Afghanistan,AFG,1965,0.105809
Afghanistan,AFG,1965,1.22415
Afghanistan,AFG,1965,2.10712
Afghanistan,AFG,1965,1.9
Afghanistan,AFG,1965,1.84
Afghanistan,AFG,1970,3.55
Afghanistan,AFG,1970,4
Afghanistan,AFG,1970,5
Afghanistan,AFG,1970,5.45455
Afghanistan,AFG,1970,5.9
Afghanistan,AFG,1970,7
Afghanistan,AFG,1970,8.26
Afghanistan,AFG,1975,11
Afghanistan,AFG,1975,13.5
Afghanistan,AFG,1975,16.8
Afghanistan,AFG,1975,17.6
Afghanistan,AFG,1975,18.4
Albania,ALB,1975,0
Albania,ALB,1975,0
Albania,ALB,1976,0
Albania,ALB,1976,0
Albania,ALB,1976,0
Albania,ALB,1976,0.011168695
Albania,ALB,1976,0.032196827
Albania,ALB,1976,0.04859392
Albania,ALB,1976,0.06502737
Albania,ALB,1977,0.081437044
Albania,ALB,1977,0.114097
Albania,ALB,1977,0.325798
Albania,ALB,1977,0.390081
Albania,ALB,1977,0.9719
Albania,ALB,1977,2.42039
Albania,ALB,1977,6.04389
Albania,ALB,1978,9.60999
Albania,ALB,1978,15.0361
Albania,ALB,1978,23.86
Albania,ALB,1978,41.2
Albania,ALB,1978,45
Albania,ALB,1978,47
Albania,ALB,1978,49.4
Albania,ALB,1979,51.8
Albania,ALB,1979,54.3
Albania,ALB,1979,56.9
Albania,ALB,1979,59.6
Albania,ALB,1979,62.4
Albania,ALB,1979,65.4
Albania,ALB,1979,68.5504
Albania,ALB,1980,72.2377
Albania,ALB,1980,79.3237
Albania,ALB,1980,82.6137
Albania,ALB,1980,83.1356
Algeria,DZA,1980,0
Algeria,DZA,1980,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1981,0.000360674
Algeria,DZA,1981,0.001768954
Algeria,DZA,1981,0.001738533
Algeria,DZA,1981,0.010268463
Algeria,DZA,1981,0.020238554
Algeria,DZA,1981,0.19952384
Algeria,DZA,1982,0.491706
Algeria,DZA,1982,0.646114
Algeria,DZA,1982,1.59164
Algeria,DZA,1982,2.19536
Algeria,DZA,1982,4.63448
Algeria,DZA,1982,5.84394
Algeria,DZA,1982,7.37598
Algeria,DZA,1983,9.45119
Algeria,DZA,1983,10.18
Algeria,DZA,1983,11.23
Algeria,DZA,1983,12.5
Algeria,DZA,1983,14.9
Algeria,DZA,1983,18.2
Algeria,DZA,1983,22.5
Algeria,DZA,1984,29.5
Algeria,DZA,1984,38.2
Algeria,DZA,1984,42.9455
Algeria,DZA,1984,47.6911
Algeria,DZA,1984,49.0385
Algeria,DZA,1984,58.9776
Algeria,DZA,1984,60.6534
Algeria,DZA,1985,66.2356
Algeria,DZA,1985,71.2432
American Samoa,ASM,1985,0
American Samoa,ASM,1985,0
American Samoa,ASM,1985,0
American Samoa,ASM,1985,0
American Samoa,ASM,1985,0
American Samoa,ASM,1986,0
Andorra,AND,1986,0
Andorra,AND,1986,0
Andorra,AND,1986,0
Andorra,AND,1986,0
Andorra,AND,1986,0
Andorra,AND,1986,0
Andorra,AND,1987,1.5266011
Andorra,AND,1987,3.0501754
Andorra,AND,1987,6.886209
Andorra,AND,1987,7.635686
Andorra,AND,1987,10.5388
Andorra,AND,1987,11.2605
Andorra,AND,1987,13.5464
Andorra,AND,1988,26.838
Andorra,AND,1988,37.6058
Andorra,AND,1988,48.9368
Andorra,AND,1988,70.87
Andorra,AND,1988,70.04
Andorra,AND,1988,78.53
Andorra,AND,1988,81
Andorra,AND,1989,81
Andorra,AND,1989,82.7
Andorra,AND,1989,84.4
Andorra,AND,1989,86.1
Andorra,AND,1989,87.9
Andorra,AND,1989,89.7
Andorra,AND,1989,91.5675
Andorra,AND,1989,90.7187
Andorra,AND,1990,93.2056
Andorra,AND,1990,93.8975
Andorra,AND,1990,94.4855
Angola,AGO,1990,0
Angola,AGO,1990,0
Angola,AGO,1990,0
Angola,AGO,1990,0
Angola,AGO,1990,0
Angola,AGO,1990,0
Angola,AGO,1990,0.000775929
Angola,AGO,1990,0.005673746
Angola,AGO,1990,0.018453725
Angola,AGO,1990,0.071964085
Angola,AGO,1990,0.105046
Angola,AGO,1990,0.136014
Angola,AGO,1990,0.270377
Angola,AGO,1990,0.370682
Angola,AGO,1990,0.464815
Angola,AGO,1990,1.14337
Angola,AGO,1990,1.5
Angola,AGO,1990,1.7
Angola,AGO,1990,1.9
Angola,AGO,1990,2.3
Angola,AGO,1990,2.8
Angola,AGO,1990,4.7
Angola,AGO,1990,7.7
Angola,AGO,1990,13
Angola,AGO,1990,21.3623
Angola,AGO,1990,22
Angola,AGO,1990,23.2
Angola,AGO,1990,26
Angola,AGO,1990,29
Angola,AGO,1990,32.1294
Angola,AGO,1990,36.6347
Angola,AGO,1990,37.8067
Angola,AGO,1990,39.2935
Antigua and Barbuda,ATG,1990,0
Antigua and Barbuda,ATG,1990,0
Antigua and Barbuda,ATG,1990,0
Antigua and Barbuda,ATG,1990,0
Antigua and Barbuda,ATG,1990,0
Antigua and Barbuda,ATG,1990,2.2007687
Antigua and Barbuda,ATG,1990,2.8584495
Antigua and Barbuda,ATG,1990,3.480537
Antigua and Barbuda,ATG,1990,4.0717163
Antigua and Barbuda,ATG,1990,5.300681
Antigua and Barbuda,ATG,1990,6.48223
Antigua and Barbuda,ATG,1990,8.89929
Antigua and Barbuda,ATG,1990,12.5
Antigua and Barbuda,ATG,1990,17.2286
Antigua and Barbuda,ATG,1990,24.2665
Antigua and Barbuda,ATG,1990,27
Antigua and Barbuda,ATG,1990,30
Antigua and Barbuda,ATG,1990,34
Antigua and Barbuda,ATG,1990,38
Antigua and Barbuda,ATG,1990,42
Antigua and Barbuda,ATG,1990,47
Antigua and Barbuda,ATG,1990,52
Antigua and Barbuda,ATG,1990,58
Antigua and Barbuda,ATG,1990,63.4
Antigua and Barbuda,ATG,1990,67.78
Antigua and Barbuda,ATG,1990,70
Antigua and Barbuda,ATG,1990,73
Antigua and Barbuda,ATG,1990,76.2
Antigua and Barbuda,ATG,1990,79.6
Antigua and Barbuda,ATG,1990,83.2
Antigua and Barbuda,ATG,1990,86.8837
Antigua and Barbuda,ATG,1990,87.074
Antigua and Barbuda,ATG,1990,91.4123
Argentina,ARG,1990,0
Argentina,ARG,1990,0
Argentina,ARG,1990,0.002992874
Argentina,ARG,1990,0.029527064
Argentina,ARG,1990,0.04370595
Argentina,ARG,1990,0.08627708
Argentina,ARG,1990,0.1419547
Argentina,ARG,1990,0.2803399
Argentina,ARG,1990,0.8307667
Argentina,ARG,1990,3.284482
Argentina,ARG,1990,7.03868
Argentina,ARG,1990,9.78081
Argentina,ARG,1990,10.8821
Argentina,ARG,1990,11.9137
Argentina,ARG,1990,16.0367
Argentina,ARG,1990,17.7206
Argentina,ARG,1990,20.9272
Argentina,ARG,1990,25.9466
Argentina,ARG,1990,28.1126
Argentina,ARG,1990,34
Argentina,ARG,1990,45
Argentina,ARG,1990,51
Argentina,ARG,1990,55.8
Argentina,ARG,1990,59.9
Argentina,ARG,1990,64.7
Argentina,ARG,1990,68.0431
Argentina,ARG,1990,70.969
Argentina,ARG,1990,74.2949
Argentina,ARG,1990,77.7
Argentina,ARG,1990,79.947
Argentina,ARG,1990,85.5144
Argentina,ARG,1990,87.1507
Argentina,ARG,1990,88.3754
Argentina,ARG,1990,89.229
Armenia,ARM,1990,0
Armenia,ARM,1990,0
Armenia,ARM,1990,0
Armenia,ARM,1990,0
Armenia,ARM,1990,0.009117014
Armenia,ARM,1990,0.052743122
Armenia,ARM,1990,0.0945729
Armenia,ARM,1990,0.11165094
Armenia,ARM,1990,0.12865947
Armenia,ARM,1990,0.97073776
Armenia,ARM,1990,1.30047
Armenia,ARM,1990,1.63109
Armenia,ARM,1990,1.96041
Armenia,ARM,1990,4.57522
Armenia,ARM,1990,4.89901
Armenia,ARM,1990,5.25298
Armenia,ARM,1990,5.63179
Armenia,ARM,1990,6.02125
Armenia,ARM,1990,6.21
Armenia,ARM,1990,15.3
Armenia,ARM,1990,25
Armenia,ARM,1990,32
Armenia,ARM,1990,37.5
Armenia,ARM,1990,41.9
Armenia,ARM,1990,54.6228
Armenia,ARM,1990,59.1008
Armenia,ARM,1990,64.346
Armenia,ARM,1990,64.7449
Armenia,ARM,1990,68.2451
Armenia,ARM,1990,66.5439
Armenia,ARM,1990,76.5077
Armenia,ARM,1990,78.6123
Armenia,ARM,1990,77.0277
Aruba,ABW,1990,0
Aruba,ABW,1990,0
Aruba,ABW,1990,0
Aruba,ABW,1990,0
Aruba,ABW,1990,0
Aruba,ABW,1990,0
Aruba,ABW,1990,2.7683825
Aruba,ABW,1990,4.5061793
Aruba,ABW,1990,15.4428
Aruba,ABW,1990,17.1
Aruba,ABW,1990,18.8
Aruba,ABW,1990,20.8
Aruba,ABW,1990,23
Aruba,ABW,1990,25.4
Aruba,ABW,1990,28
Aruba,ABW,1990,30.9
Aruba,ABW,1990,52
Aruba,ABW,1990,58
Aruba,ABW,1990,62
Aruba,ABW,1990,69
Aruba,ABW,1990,74
Aruba,ABW,1990,78.9
Aruba,ABW,1990,83.78
Aruba,ABW,1990,88.6612
Aruba,ABW,1990,93.5425
Aruba,ABW,1990,97.17
Australia,AUS,1990,0.5850947
Australia,AUS,1990,1.0972039
Australia,AUS,1990,1.7687649
Australia,AUS,1990,1.974611
Australia,AUS,1990,2.2321012
Australia,AUS,1990,2.7596545
Australia,AUS,1990,3.27525
Australia,AUS,1990,16.369358
Australia,AUS,1990,30.81324
Australia,AUS,1990,40.783783
Australia,AUS,1990,46.7561
Australia,AUS,1990,52.6893
Australia,AUS,1990,63
Australia,AUS,1990,66
Australia,AUS,1990,69.45
Australia,AUS,1990,71.67
Australia,AUS,1990,74.25
Australia,AUS,1990,76
Australia,AUS,1990,79.4877
Australia,AUS,1990,79
Australia,AUS,1990,83.4535
Australia,AUS,1990,84
Australia,AUS,1990,84.5605
Australia,AUS,1990,86.54
Australia,AUS,1990,86.545
Australia,AUS,1990,90
Australia,AUS,1990,93.6099
Australia,AUS,1990,94.6935
Australia,AUS,1990,94.9886
Australia,AUS,1990,94.8762
Austria,AUT,1990,0.13036938
Austria,AUT,1990,0.25908154
Austria,AUT,1990,0.6428176
Austria,AUT,1990,0.7653427
Austria,AUT,1990,1.393423
Austria,AUT,1990,1.8902105
Austria,AUT,1990,6.9091625
Austria,AUT,1990,9.533975
Austria,AUT,1990,15.421219
Austria,AUT,1990,23.044317
Austria,AUT,1990,33.7301
Austria,AUT,1990,39.1855
Austria,AUT,1990,36.56
Austria,AUT,1990,42.7
Austria,AUT,1990,54.28
Austria,AUT,1990,58
Austria,AUT,1990,63.6
Austria,AUT,1990,69.37
Austria,AUT,1990,72.87
Austria,AUT,1990,73.45
Austria,AUT,1990,75.17
Austria,AUT,1990,78.74
Austria,AUT,1990,80.03
Austria,AUT,1990,80.6188
Austria,AUT,1990,80.9958
Austria,AUT,1990,83.9401
Austria,AUT,1990,84.3237
Austria,AUT,1990,87.9356
Austria,AUT,1990,87.4791
Austria,AUT,1991,87.7522
Austria,AUT,1991,87.5294
Austria,AUT,1991,92.5292
Austria,AUT,1991,93.6141
Austria,AUT,1991,95.3347
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1991,0.001431415
Azerbaijan,AZE,1991,0.002055556
Azerbaijan,AZE,1991,0.006354585
Azerbaijan,AZE,1991,0.025187934
Azerbaijan,AZE,1991,0.037485108
Azerbaijan,AZE,1991,0.09922894
Azerbaijan,AZE,1991,0.147758
Azerbaijan,AZE,1991,0.305565
Azerbaijan,AZE,1991,4.99971
Azerbaijan,AZE,1991,8.03038
Azerbaijan,AZE,1991,11.9922
Azerbaijan,AZE,1991,14.54
Azerbaijan,AZE,1991,17.08
Azerbaijan,AZE,1991,27.4
Azerbaijan,AZE,1991,46
Azerbaijan,AZE,1991,50
Azerbaijan,AZE,1991,54.2
Azerbaijan,AZE,1991,73
Azerbaijan,AZE,1991,75
Azerbaijan,AZE,1991,77
Azerbaijan,AZE,1991,78.2
Azerbaijan,AZE,1991,79
Azerbaijan,AZE,1991,79.8
Azerbaijan,AZE,1991,81.1
Azerbaijan,AZE,1991,84.6
Azerbaijan,AZE,1991,86
Azerbaijan,AZE,1991,88
Bahamas,BHS,1991,0
Bahamas,BHS,1991,0
Bahamas,BHS,1991,0
Bahamas,BHS,1991,0
Bahamas,BHS,1991,0
Bahamas,BHS,1991,0.96003073
Bahamas,BHS,1991,1.7469507
Bahamas,BHS,1991,1.3629539
Bahamas,BHS,1991,2.3355906
Bahamas,BHS,1991,3.7645578
Bahamas,BHS,1991,8
Bahamas,BHS,1991,11.8
Bahamas,BHS,1991,18
Bahamas,BHS,1991,20
Bahamas,BHS,1991,22
Bahamas,BHS,1991,25
Bahamas,BHS,1991,26
Bahamas,BHS,1991,27
Bahamas,BHS,1991,31.54
Bahamas,BHS,1991,33.88
Bahamas,BHS,1991,43
Bahamas,BHS,1991,65
Bahamas,BHS,1991,71.7482
Bahamas,BHS,1991,72
Bahamas,BHS,1991,76.92
Bahamas,BHS,1991,78
Bahamas,BHS,1991,80
Bahamas,BHS,1991,80.6
Bahamas,BHS,1991,83
Bahamas,BHS,1991,90.6933
Bahamas,BHS,1991,92.4437
Bahamas,BHS,1991,93.7667
Bahamas,BHS,1991,94.4117
Bahrain,BHR,1991,0
Bahrain,BHR,1991,0
Bahrain,BHR,1991,0
Bahrain,BHR,1991,0
Bahrain,BHR,1991,0
Bahrain,BHR,1991,0.34620583
Bahrain,BHR,1991,0.8432542
Bahrain,BHR,1991,1.6462992
Bahrain,BHR,1991,3.218202
Bahrain,BHR,1991,4.720358
Bahrain,BHR,1991,6.15373
Bahrain,BHR,1991,15.0386
Bahrain,BHR,1991,18.0507
Bahrain,BHR,1991,21.5549
Bahrain,BHR,1991,21.4587
Bahrain,BHR,1991,21.3037
Bahrain,BHR,1991,28.244
Bahrain,BHR,1991,32.91
Bahrain,BHR,1991,51.95
Bahrain,BHR,1991,53
Bahrain,BHR,1991,55
Bahrain,BHR,1991,77
Bahrain,BHR,1991,88
Bahrain,BHR,1991,90
Bahrain,BHR,1991,90.5031
Bahrain,BHR,1991,93.4783
Bahrain,BHR,1991,98
Bahrain,BHR,1991,95.8781
Bahrain,BHR,1991,98.6447
Bahrain,BHR,1991,99.7015
Bahrain,BHR,1991,99.671
Bahrain,BHR,1991,100
Bahrain,BHR,1991,100
Bahrain,BHR,1991,100
Bangladesh,BGD,1991,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1991,0.000751046
Bangladesh,BGD,1991,0.003684813
Bangladesh,BGD,1991,0.036170408
Bangladesh,BGD,1991,0.0710394
Bangladesh,BGD,1991,0.129808
Bangladesh,BGD,1991,0.13992
Bangladesh,BGD,1991,0.163878
Bangladesh,BGD,1991,0.199036
Bangladesh,BGD,1991,0.241637
Bangladesh,BGD,1991,1
Bangladesh,BGD,1991,1.8
Bangladesh,BGD,1991,2.5
Bangladesh,BGD,1991,3.1
Bangladesh,BGD,1991,3.7
Bangladesh,BGD,1991,4.5
Bangladesh,BGD,1991,5
Bangladesh,BGD,1991,6.63
Bangladesh,BGD,1991,11.9
Bangladesh,BGD,1991,12.9
Bangladesh,BGD,1991,18.1
Bangladesh,BGD,1991,21.5
Bangladesh,BGD,1991,25.6
Bangladesh,BGD,1991,30.4
Bangladesh,BGD,1991,36.1091
Bangladesh,BGD,1991,38.9174
Bangladesh,BGD,1991,41.6152
Bangladesh,BGD,1991,44.5027
Barbados,BRB,1991,0
Barbados,BRB,1991,0
Barbados,BRB,1991,0
Barbados,BRB,1991,0
Barbados,BRB,1991,0
Barbados,BRB,1991,0.007752238
Barbados,BRB,1991,0.3894642
Barbados,BRB,1991,0.7834289
Barbados,BRB,1991,1.9702493
Barbados,BRB,1991,2.376247
Barbados,BRB,1991,3.97368
Barbados,BRB,1991,11.9365
Barbados,BRB,1991,27.8363
Barbados,BRB,1991,39.6896
Barbados,BRB,1991,49.8
Barbados,BRB,1991,52.5
Barbados,BRB,1991,55.3
Barbados,BRB,1991,58.2
Barbados,BRB,1991,61.4
Barbados,BRB,1991,64.7
Barbados,BRB,1991,65.1
Barbados,BRB,1991,66.5
Barbados,BRB,1991,71.2
Barbados,BRB,1991,71.8
Barbados,BRB,1991,71.9
Barbados,BRB,1991,72
Barbados,BRB,1991,72.2
Barbados,BRB,1991,72.3
Barbados,BRB,1991,72.4
Barbados,BRB,1991,72.6
Barbados,BRB,1991,72.6766
Barbados,BRB,1991,74.8596
Barbados,BRB,1991,76.2053
Belarus,BLR,1991,0
Belarus,BLR,1991,0
Belarus,BLR,1991,0
Belarus,BLR,1991,0
Belarus,BLR,1991,0.000485951
Belarus,BLR,1991,0.002921254
Belarus,BLR,1991,0.029298294
Belarus,BLR,1991,0.04902089
Belarus,BLR,1991,0.0738689
Belarus,BLR,1991,0.49488124
Belarus,BLR,1991,1.8604
Belarus,BLR,1991,4.30062
Belarus,BLR,1991,8.95097
Belarus,BLR,1991,16.2
Belarus,BLR,1991,19.7
Belarus,BLR,1991,23
Belarus,BLR,1991,27.43
Belarus,BLR,1991,31.8
Belarus,BLR,1991,39.6489
Belarus,BLR,1991,46.91
Belarus,BLR,1991,54.17
Belarus,BLR,1991,59.0163
Belarus,BLR,1991,62.2304
Belarus,BLR,1991,71.113
Belarus,BLR,1991,74.4364
Belarus,BLR,1991,79.1299
Belarus,BLR,1991,82.7892
Belarus,BLR,1991,85.0879
Belarus,BLR,1991,86.8884
Belarus,BLR,1991,89.5073
Belarus,BLR,1991,91.5125
Belgium,BEL,1991,0.00100674
Belgium,BEL,1991,0.020072645
Belgium,BEL,1991,0.100041024
Belgium,BEL,1991,0.19944605
Belgium,BEL,1991,0.6959947
Belgium,BEL,1991,0.991663
Belgium,BEL,1991,2.9684117
Belgium,BEL,1991,4.938081
Belgium,BEL,1991,7.886623
Belgium,BEL,1991,13.772215
Belgium,BEL,1991,29.4317
Belgium,BEL,1991,31.2884
Belgium,BEL,1991,46.33
Belgium,BEL,1991,49.97
Belgium,BEL,1991,53.86
Belgium,BEL,1991,55.82
Belgium,BEL,1991,61.9819
Belgium,BEL,1991,66.7604
Belgium,BEL,1991,68.8573
Belgium,BEL,1991,74.5441
Belgium,BEL,1991,77.6398
Belgium,BEL,1992,81.61
Belgium,BEL,1992,80.72
Belgium,BEL,1992,82.1702
Belgium,BEL,1992,85.0012
Belgium,BEL,1992,85.0529
Belgium,BEL,1992,86.5165
Belgium,BEL,1992,87.6797
Belgium,BEL,1992,88.6473
Belgium,BEL,1992,90.2754
Belgium,BEL,1992,91.5264
Belgium,BEL,1992,92.7887
Belgium,BEL,1992,94.0078
Belgium,BEL,1992,94.6263
Belize,BLZ,1992,0
Belize,BLZ,1992,0
Belize,BLZ,1992,0
Belize,BLZ,1992,0
Belize,BLZ,1992,0
Belize,BLZ,1992,0.04539718
Belize,BLZ,1992,0.8828073
Belize,BLZ,1992,1.2885823
Belize,BLZ,1992,2.0915165
Belize,BLZ,1992,4.0767407
Belize,BLZ,1992,5.96384
Belize,BLZ,1992,5.68425
Belize,BLZ,1992,9.8
Belize,BLZ,1992,17
Belize,BLZ,1992,24
Belize,BLZ,1992,24.6
Belize,BLZ,1992,26.3
Belize,BLZ,1992,27.2
Belize,BLZ,1992,28.2
Belize,BLZ,1992,30.7
Belize,BLZ,1992,31
Belize,BLZ,1992,33.6
Belize,BLZ,1992,38.7
Belize,BLZ,1992,41.59
Belize,BLZ,1992,44.5757
Belize,BLZ,1992,47.0826
Belize,BLZ,1992,49.8
Belize,BLZ,1992,53.3
Belize,BLZ,1992,57.0987
Belize,BLZ,1992,65.0198
Belize,BLZ,1992,70.354
Benin,BEN,1992,0
Benin,BEN,1992,0
Benin,BEN,1992,0
Benin,BEN,1992,0
Benin,BEN,1992,0
Benin,BEN,1992,0
Benin,BEN,1992,0.0016931
Benin,BEN,1992,0.024648797
Benin,BEN,1992,0.047877304
Benin,BEN,1992,0.15490673
Benin,BEN,1992,0.225248
Benin,BEN,1992,0.363418
Benin,BEN,1992,0.702946
Benin,BEN,1992,0.951327
Benin,BEN,1992,1.18254
Benin,BEN,1992,1.27103
Benin,BEN,1992,1.53785
Benin,BEN,1992,1.79
Benin,BEN,1992,1.85
Benin,BEN,1992,2.24
Benin,BEN,1992,3.13
Benin,BEN,1992,4.14832
Benin,BEN,1992,4.5
Benin,BEN,1992,4.9
Benin,BEN,1992,6
Benin,BEN,1992,11.255
Benin,BEN,1992,14.5
Benin,BEN,1992,18.7
Benin,BEN,1992,19
Benin,BEN,1992,20.5
Benin,BEN,1992,22.1206
Benin,BEN,1992,30.7419
Benin,BEN,1992,33.7602
Bermuda,BMU,1992,0
Bermuda,BMU,1992,0
Bermuda,BMU,1992,0
Bermuda,BMU,1992,0
Bermuda,BMU,1992,0
Bermuda,BMU,1992,6.8381634
Bermuda,BMU,1992,16.202467
Bermuda,BMU,1992,24.189257
Bermuda,BMU,1992,32.10376
Bermuda,BMU,1992,39.94759
Bermuda,BMU,1992,42.9499
Bermuda,BMU,1992,47.5097
Bermuda,BMU,1992,52.0316
Bermuda,BMU,1992,56.522
Bermuda,BMU,1992,60.9909
Bermuda,BMU,1992,65.4471
Bermuda,BMU,1992,69.8997
Bermuda,BMU,1992,74.3506
Bermuda,BMU,1992,82.3
Bermuda,BMU,1992,83.25
Bermuda,BMU,1992,84.21
Bermuda,BMU,1992,88.336
Bermuda,BMU,1992,91.2993
Bermuda,BMU,1992,95.3
Bermuda,BMU,1992,96.8
Bermuda,BMU,1992,98.3236
Bermuda,BMU,1992,98
Bermuda,BMU,1992,98.37
Bhutan,BTN,1992,0
Bhutan,BTN,1992,0
Bhutan,BTN,1992,0
Bhutan,BTN,1992,0
Bhutan,BTN,1992,0
Bhutan,BTN,1992,0
Bhutan,BTN,1992,0.13757151
Bhutan,BTN,1992,0.400944
Bhutan,BTN,1992,0.864629
Bhutan,BTN,1992,1.6758
Bhutan,BTN,1992,2.43691
Bhutan,BTN,1992,3.15698
Bhutan,BTN,1992,3.84711
Bhutan,BTN,1992,4.51832
Bhutan,BTN,1992,5.92
Bhutan,BTN,1992,6.55
Bhutan,BTN,1992,7.17
Bhutan,BTN,1992,13.6
Bhutan,BTN,1992,14.4
Bhutan,BTN,1992,15.6
Bhutan,BTN,1992,22.4
Bhutan,BTN,1992,30.3
Bhutan,BTN,1992,39.8
Bhutan,BTN,1992,46.5
Bhutan,BTN,1992,54.3
Bhutan,BTN,1992,63.5
Bhutan,BTN,1992,74.1794
Bhutan,BTN,1992,76.8508
Bhutan,BTN,1992,85.6369
Bhutan,BTN,1992,86.8403
Bolivia,BOL,1992,0
Bolivia,BOL,1992,0
Bolivia,BOL,1992,0
Bolivia,BOL,1992,0
Bolivia,BOL,1992,0
Bolivia,BOL,1992,0.06680757
Bolivia,BOL,1992,0.19608118
Bolivia,BOL,1992,0.44783902
Bolivia,BOL,1992,0.62648404
Bolivia,BOL,1992,0.98181516
Bolivia,BOL,1992,1.44276
Bolivia,BOL,1992,2.12046
Bolivia,BOL,1992,3.11719
Bolivia,BOL,1992,3.5086
Bolivia,BOL,1992,4.43992
Bolivia,BOL,1992,5.22758
Bolivia,BOL,1992,6.20067
Bolivia,BOL,1992,10.4992
Bolivia,BOL,1992,12.5
Bolivia,BOL,1992,16.8
Bolivia,BOL,1992,22.4
Bolivia,BOL,1992,30
Bolivia,BOL,1992,35.34
Bolivia,BOL,1992,36.99
Bolivia,BOL,1992,34.6016
Bolivia,BOL,1992,37.4868
Bolivia,BOL,1992,39.6975
Bolivia,BOL,1992,43.8323
Bolivia,BOL,1992,44.2861
Bolivia,BOL,1992,47.4748
Bolivia,BOL,1992,59.9401
Bolivia,BOL,1992,65.9774
Bolivia,BOL,1992,73.2831
Bosnia and Herzegovina,BIH,1992,0
Bosnia and Herzegovina,BIH,1992,0
Bosnia and Herzegovina,BIH,1992,0
Bosnia and Herzegovina,BIH,1992,0
Bosnia and Herzegovina,BIH,1992,0
Bosnia and Herzegovina,BIH,1992,0
Bosnia and Herzegovina,BIH,1992,0.015125563
Bosnia and Herzegovina,BIH,1992,0.059425563
Bosnia and Herzegovina,BIH,1992,0.14367107
Bosnia and Herzegovina,BIH,1992,0.1943742
Bosnia and Herzegovina,BIH,1992,1.08296
Bosnia and Herzegovina,BIH,1992,1.20053
Bosnia and Herzegovina,BIH,1992,2.64827
Bosnia and Herzegovina,BIH,1992,3.96504
Bosnia and Herzegovina,BIH,1992,15.469
Bosnia and Herzegovina,BIH,1992,21.3267
Bosnia and Herzegovina,BIH,1992,25.1224
Bosnia and Herzegovina,BIH,1992,27.92
Bosnia and Herzegovina,BIH,1992,34.66
Bosnia and Herzegovina,BIH,1992,37.74
Bosnia and Herzegovina,BIH,1992,42.75
Bosnia and Herzegovina,BIH,1992,43.8877
Bosnia and Herzegovina,BIH,1992,45.0645
Bosnia and Herzegovina,BIH,1992,48.5213
Bosnia and Herzegovina,BIH,1992,49.9177
Bosnia and Herzegovina,BIH,1992,52.6
Bosnia and Herzegovina,BIH,1992,60.2565
Bosnia and Herzegovina,BIH,1992,64.892
Bosnia and Herzegovina,BIH,1992,70.1201
Bosnia and Herzegovina,BIH,1992,69.9463
Bosnia and Herzegovina,BIH,1992,73.2118
Bosnia and Herzegovina,BIH,1992,75.6762
Bosnia and Herzegovina,BIH,1992,78.8455
Bosnia and Herzegovina,BIH,1992,83.3772
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1992,0
Botswana,BWA,1993,0
Botswana,BWA,1993,0
Botswana,BWA,1993,0
Botswana,BWA,1993,0
Botswana,BWA,1993,0.064521044
Botswana,BWA,1993,0.15745424
Botswana,BWA,1993,0.30774686
Botswana,BWA,1993,0.60240096
Botswana,BWA,1993,1.1223915
Botswana,BWA,1993,2.90267
Botswana,BWA,1993,3.43089
Botswana,BWA,1993,3.38592
Botswana,BWA,1993,3.34519
Botswana,BWA,1993,3.30489
Botswana,BWA,1993,3.26255
Botswana,BWA,1993,4.28993
Botswana,BWA,1993,5.28
Botswana,BWA,1993,6.25
Botswana,BWA,1993,6.15
Botswana,BWA,1993,6
Botswana,BWA,1993,9
Botswana,BWA,1993,16
Botswana,BWA,1993,30
Botswana,BWA,1993,36.7447
Botswana,BWA,1993,37.3121
Botswana,BWA,1993,39.363
Botswana,BWA,1993,41.4138
Botswana,BWA,1993,58
Botswana,BWA,1993,64.8263
Botswana,BWA,1993,67.4756
Botswana,BWA,1993,75.2388
Botswana,BWA,1993,77.3272
Brazil,BRA,1993,0
Brazil,BRA,1993,0.003288171
Brazil,BRA,1993,0.012946262
Brazil,BRA,1993,0.025498252
Brazil,BRA,1993,0.03767271
Brazil,BRA,1993,0.10513817
Brazil,BRA,1993,0.45078918
